,City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,kamina,24.99,-8.74,59.99000000000002,44,56,1.46
1,bluff,168.33,-46.6,39.272000000000034,83,97,1.34
2,rikitea,-134.97,-23.12,67.35199999999998,59,100,5.76
3,nikolskoye,30.79,59.7,55.05800000000001,76,75,3.0
4,fort nelson,-122.7,58.81,62.86999999999996,67,75,3.1
5,cape town,18.42,-33.93,52.73599999999997,93,0,0.5
6,busselton,115.33,-33.65,52.26799999999999,75,42,4.92
7,miraflores,-98.81,19.22,71.816,38,75,4.6
8,victoria,114.16,22.29,88.808,70,62,2.24
9,qaanaaq,-69.36,77.48,48.21799999999999,53,0,0.44
10,mataura,168.86,-46.19,39.272000000000034,83,97,1.34
11,kimry,37.35,56.87,50.26999999999996,94,44,2.86
12,vaini,-175.2,-21.2,75.46999999999997,78,75,5.1
13,khatanga,102.5,71.97,47.317999999999984,81,100,7.42
14,vilhena,-60.15,-12.74,73.66999999999996,60,0,1.5
15,colares,-9.45,38.8,66.25399999999996,63,0,4.92
16,maumere,122.21,-8.62,78.80000000000001,68,54,2.72
17,taunton,-3.1,51.02,56.62400000000001,86,70,0.45
18,saint george,-113.58,37.1,100.61600000000001,14,1,8.2
19,bambous virieux,57.76,-20.34,68.26999999999995,68,75,5.1
20,mbuji-mayi,23.6,-6.15,73.184,36,43,1.16
21,newport,-3.0,51.59,56.696000000000055,85,52,2.9
22,batemans bay,150.18,-35.72,45.464000000000034,98,85,0.52
23,kruisfontein,24.73,-34.0,57.182000000000016,38,0,3.06
24,katangli,143.23,51.71,50.80999999999998,92,100,5.65
25,arraial do cabo,-42.03,-22.97,71.86999999999996,88,40,1.0
26,leningradskiy,178.42,69.38,63.68000000000004,40,100,3.42
27,jiamusi,130.35,46.83,76.02799999999996,67,68,0.71
28,samarkand,66.96,39.65,77.26999999999995,36,30,3.1
29,san patricio,-104.7,19.22,86.26999999999995,74,75,7.7
30,lebu,-73.65,-37.62,49.31600000000001,80,44,1.29
31,hit,42.83,33.64,91.184,19,0,4.33
32,hobart,147.33,-42.88,46.30999999999998,75,75,3.1
33,benghazi,20.07,32.12,76.40600000000003,77,0,4.37
34,albany,-73.97,42.6,73.00399999999996,87,79,0.69
35,geraldton,114.6,-28.77,61.069999999999965,87,90,2.6
36,henties bay,14.28,-22.12,64.16600000000001,39,0,0.27
37,yellowknife,-114.35,62.46,65.35399999999996,93,90,5.1
38,taman,36.72,45.21,62.58200000000002,88,0,2.0
39,aksha,113.29,50.28,75.75800000000001,48,99,2.24
40,provideniya,-173.3,64.38,50.26999999999996,76,20,5.0
41,plettenberg bay,23.37,-34.05,59.21600000000001,57,0,1.41
42,mao,4.27,39.89,77.26999999999995,61,85,8.2
43,altus,-99.33,34.64,92.55199999999998,49,40,5.7
44,port alfred,26.89,-33.59,64.058,55,0,4.34
45,yurgamysh,64.47,55.37,58.26199999999996,80,92,3.86
46,guerrero negro,-114.06,27.98,74.26400000000004,63,3,7.61
47,praya,-23.51,14.92,80.86999999999996,78,20,1.0
48,ushuaia,-68.3,-54.8,37.66999999999996,55,96,7.7
49,kodiak,-152.41,57.79,66.46999999999997,45,1,10.3
50,quelimane,36.89,-17.88,66.14600000000004,84,58,2.81
51,cherskiy,161.3,68.75,80.726,24,94,5.64
52,east london,27.91,-33.02,64.41799999999998,35,0,3.55
53,barrow,-156.79,71.29,43.06999999999996,81,75,4.1
54,punta arenas,-70.92,-53.15,28.472000000000037,92,18,4.6
55,puerto ayora,-90.35,-0.74,69.27799999999996,93,85,4.02
56,pinheiro machado,-53.38,-31.58,66.27200000000005,85,100,4.02
57,georgetown,100.34,5.41,76.226,94,20,2.11
58,klaksvik,-6.59,62.23,48.469999999999956,93,88,3.28
59,sabha,14.43,27.04,77.45,29,0,5.98
60,mackenzie,-123.17,55.3,71.86999999999996,46,1,4.1
61,vestmannaeyjar,-20.27,63.44,52.23200000000001,83,59,2.59
62,sur,59.53,22.57,84.72200000000004,71,41,7.94
63,mahebourg,57.7,-20.41,70.06999999999996,68,75,5.1
64,danilovka,44.12,50.36,61.32200000000004,90,0,3.83
65,catuday,119.81,16.29,83.11999999999996,80,0,3.6
66,longyearbyen,15.64,78.22,44.86999999999996,87,75,3.1
67,trelleborg,13.16,55.38,55.05800000000001,76,20,2.6
68,nizwa,57.53,22.93,78.38599999999997,75,86,3.55
69,tiksi,128.87,71.69,53.34800000000003,82,82,1.8
70,flinders,150.86,-34.58,58.26199999999996,78,11,5.36
71,pevek,170.31,69.7,54.40999999999998,55,98,4.68
72,morehead,-87.18,37.27,79.66400000000004,78,1,3.48
73,saint-denis,2.33,48.92,64.14800000000002,52,93,3.6
74,ponta do sol,-17.1,32.67,64.63399999999999,73,2,1.01
75,airai,125.41,-8.93,63.48200000000001,45,76,2.39
76,isangel,169.27,-19.55,77.26999999999995,65,75,3.1
77,lianyuan,111.66,27.69,81.76999999999995,74,18,1.14
78,new norfolk,147.06,-42.78,46.09399999999997,80,82,1.79
79,esperance,121.9,-33.87,57.469999999999956,67,90,7.2
80,mumford,-0.76,5.26,74.55199999999998,93,85,4.09
81,xapuri,-68.5,-10.65,77.48599999999996,58,50,0.83
82,port elizabeth,25.57,-33.92,53.86999999999996,100,40,2.1
