,City,Longitude,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,ponta do sol,-17.1,32.67,71.49199999999999,43,20,9.8
1,nanortalik,-45.24,60.14,45.751999999999974,90,100,3.06
2,albany,-73.97,42.6,81.30199999999998,60,33,1.08
3,ushuaia,-68.3,-54.8,32.26999999999996,93,90,5.7
4,punta arenas,-70.92,-53.15,37.47200000000004,88,40,6.2
5,rikitea,-134.97,-23.12,68.50399999999996,71,17,7.06
6,new norfolk,147.06,-42.78,43.06999999999996,86,100,1.06
7,dinan,-2.25,48.42,63.35600000000003,88,86,3.1
8,ketchikan,-131.65,55.34,59.97200000000004,77,90,4.1
9,barrow,-156.79,71.29,35.86999999999996,80,90,6.2
10,cape town,18.42,-33.93,50.26999999999996,66,0,2.6
11,pisco,-76.22,-13.7,63.05,77,0,10.3
12,busselton,115.33,-33.65,44.74399999999997,78,87,8.2
13,santa maria,-53.81,-29.68,51.09800000000003,92,100,4.06
14,muros,-9.06,42.78,65.26400000000004,80,1,0.89
15,ambon,128.18,-3.7,79.17799999999997,83,40,2.6
16,bandarbeyla,50.81,9.49,75.66799999999998,76,24,12.11
17,georgetown,100.34,5.41,76.226,94,20,1.5
18,port alfred,26.89,-33.59,67.44200000000001,26,0,5.01
19,kantabanji,82.92,20.48,77.45,81,100,0.33
20,nouadhibou,-17.03,20.93,71.86999999999996,83,0,4.1
21,wageningen,5.67,51.97,62.780000000000044,88,90,1.0
22,hobart,147.33,-42.88,44.79800000000002,70,75,3.1
23,yellowknife,-114.35,62.46,61.15999999999998,72,75,2.1
24,cherskiy,161.3,68.75,78.51199999999996,48,10,2.38
25,lorengau,147.27,-2.02,84.61400000000003,77,46,5.24
26,cervo,-7.41,43.67,66.27200000000005,87,5,1.98
27,bahia honda,-83.16,22.9,79.06999999999996,81,95,2.51
28,yabrud,36.66,33.97,73.66999999999996,53,0,5.7
29,itaunja,80.92,27.08,80.86999999999996,88,75,1.5
30,santiago del estero,-64.26,-27.8,47.785999999999966,52,29,2.1
31,nalut,10.85,30.33,77.03599999999997,23,0,4.93
32,bluff,168.33,-46.6,50.648000000000025,81,100,7.43
33,surgut,73.42,61.25,52.069999999999965,81,47,1.0
34,camocim,-40.84,-2.9,78.566,74,34,6.56
35,jamestown,-79.24,42.1,76.334,73,1,4.6
36,ahipara,173.17,-35.17,56.42599999999999,58,40,3.66
37,lavrentiya,-171.0,65.58,49.92799999999997,68,94,1.93
38,paamiut,-49.67,61.99,47.69600000000005,93,96,2.81
39,ambajogai,76.38,18.73,73.058,90,98,3.51
40,mitsamiouli,43.28,-11.38,77.19800000000004,66,58,6.17
41,san cristobal,-72.22,7.77,86.26999999999995,51,40,6.2
42,avarua,-159.78,-21.21,75.46999999999997,64,89,4.6
43,castro,-50.01,-24.79,57.79399999999997,75,0,1.97
44,abu zabad,29.25,12.35,82.13000000000005,57,52,7.26
45,port-gentil,8.78,-0.72,77.26999999999995,78,40,5.96
46,general roca,-67.58,-39.03,44.86999999999996,56,6,3.1
47,astoria,-123.83,46.19,64.14800000000002,72,90,5.7
48,tynda,124.72,55.17,59.70199999999998,95,100,1.13
49,usman,39.73,52.05,48.469999999999956,87,1,2.0
50,kodiak,-152.41,57.79,57.469999999999956,87,90,1.5
51,dikson,80.55,73.51,42.475999999999985,97,91,5.62
52,chokurdakh,147.92,70.63,77.558,43,37,2.98
53,yumen,97.2,40.28,70.484,40,0,5.01
54,altay,88.12,47.87,67.96400000000003,53,35,1.46
55,mahebourg,57.7,-20.41,68.26999999999995,52,75,7.7
56,iqaluit,-68.51,63.75,50.26999999999996,71,75,3.72
57,pangai,-174.35,-19.8,79.06999999999996,83,40,7.2
58,bengkulu,102.27,-3.8,74.69600000000005,88,89,2.2
59,kapaa,-159.32,22.08,82.92200000000004,70,40,6.7
60,joensuu,29.76,62.6,50.26999999999996,93,97,3.1
61,port lincoln,135.87,-34.73,54.69800000000002,81,0,0.96
62,yulara,130.99,-25.24,44.86999999999996,65,0,5.84
63,uribia,-72.27,11.71,83.65999999999998,67,97,8.35
64,bozova,38.53,37.36,82.66999999999996,37,0,3.1
65,ninotsminda,43.59,41.26,61.069999999999965,67,20,2.6
66,padang,100.35,-0.95,77.82799999999997,78,99,2.55
67,tasiilaq,-37.64,65.61,43.06999999999996,87,87,2.1
68,bethel,-73.41,41.37,77.684,69,1,2.1
69,krasnyy yar,48.35,46.53,78.674,21,73,4.0
70,vostok,135.88,46.49,67.1,82,59,0.5
71,namatanai,152.43,-3.67,85.226,70,0,4.45
72,san quintin,-115.95,30.48,70.21400000000003,67,0,5.54
73,cidreira,-50.21,-30.18,63.14000000000002,84,100,4.32
74,hami,93.45,42.8,77.95399999999995,33,0,2.65
75,naliya,68.83,23.27,84.03800000000004,80,99,5.36
76,saint-philippe,55.77,-21.36,57.07400000000001,63,90,6.7
77,saskylakh,114.08,71.92,46.79600000000005,84,100,4.24
78,chuy,-53.46,-33.7,47.96600000000001,90,100,4.48
79,nikolskoye,30.79,59.7,52.79000000000002,81,97,3.0
80,mataura,168.86,-46.19,46.022000000000034,90,97,2.63
81,atuona,-139.03,-9.8,79.06999999999996,80,23,8.2
82,puerto ayora,-90.35,-0.74,69.27799999999996,92,96,2.68
83,coquimbo,-71.34,-29.95,53.86999999999996,71,0,3.1
84,hofn,-15.21,64.25,50.359999999999985,61,72,4.16
85,torbay,-52.73,47.67,55.184,100,90,4.6
86,lompoc,-120.46,34.64,66.59600000000006,68,12,6.7
87,ribeira grande,-28.7,38.52,70.34000000000003,74,0,3.4
88,dalby,151.27,-27.18,61.069999999999965,87,90,6.2
89,boguchany,97.45,58.38,57.23599999999997,76,3,1.29
90,vila franca do campo,-25.43,37.72,66.46999999999997,77,40,2.1
91,bredasdorp,20.04,-34.53,46.66999999999996,87,0,2.1
92,cartagena,-75.51,10.4,84.46999999999997,83,75,4.1
93,teknaf,92.31,20.86,79.30399999999995,88,26,1.65
94,aykhal,111.5,66.0,61.069999999999965,72,100,3.0
95,tiksi,128.87,71.69,59.18000000000004,69,26,3.95
96,sitka,-135.33,57.05,57.469999999999956,82,90,3.1
97,khatanga,102.5,71.97,42.817999999999984,85,98,5.88
98,hilo,-155.09,19.73,79.75399999999996,66,40,4.6
99,naze,129.48,28.37,83.55199999999998,88,75,1.0
100,vigia del fuerte,-76.89,6.58,75.18200000000002,94,99,0.47
101,saldanha,17.94,-33.01,50.26999999999996,61,0,0.5
102,dali,100.18,25.7,64.77799999999996,85,100,1.64
103,velke losiny,17.04,50.03,58.83800000000005,94,44,1.21
104,saint-joseph,55.62,-21.37,55.292,63,90,6.7
105,lagoa,-27.98,39.05,70.21400000000003,79,0,4.97
106,terney,136.61,45.05,61.069999999999965,86,100,2.0
107,leh,77.58,34.17,59.01799999999999,42,0,1.65
108,puerto leguizamo,-74.78,-0.19,74.42599999999999,90,54,0.15
109,severo-kurilsk,156.12,50.68,53.167999999999985,76,100,2.49
110,sarangani,125.46,5.4,83.19200000000001,71,99,0.51
111,marsa matruh,27.25,31.35,73.66999999999996,88,0,3.16
112,vaini,-175.2,-21.2,75.46999999999997,83,75,4.1
113,san patricio,-104.7,19.22,86.26999999999995,79,75,2.6
114,steinbach,8.57,50.17,70.88000000000005,60,13,2.6
115,buala,159.59,-8.14,85.44200000000001,72,78,5.3
116,sirari,34.43,-1.23,60.56600000000001,81,47,1.43
117,walvis bay,14.51,-22.96,68.32400000000001,14,0,4.1
118,beyneu,55.2,45.32,74.96600000000001,47,0,2.6
